Timestamp,Symbol,Side,Quantity,OrderId

2026-06-22T13:45:05.831Z,ES,buy,1,3161923327
2026-06-22T13:45:06.845Z,RTY,buy,2,3161923745
2026-06-22T14:09:05.866Z,GC,buy,1,3162416971
2026-06-23T03:04:44.750Z,M2K,buy,2,3166838756,3013.2
2026-06-23T03:14:35.491Z,MES,buy,2,3166875406,7507.25
2026-06-23T03:14:35.682Z,MYM,buy,2,3166875416,52090
2026-06-23T03:43:35.580Z,MNQ,buy,2,3166985446,30317.75
2026-06-23T05:28:20.320Z,M2K,buy,2,3167325561,2993
2026-06-23T05:36:20.083Z,MCL,buy,2,3167357568,73.42
2026-06-23T05:59:19.980Z,MNQ,buy,2,3167432108,30108
2026-06-23T06:22:20.047Z,MES,buy,2,3167510405,7460.5
2026-06-23T06:27:20.292Z,MYM,buy,2,3167528703,51889
2026-06-23T14:06:42.876Z,MCL,buy,1,3169745072,72.75
2026-06-23T14:21:42.975Z,MYM,sell,2,3169995836,52168
